                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27315,                0.40602,                      1,                0.75505,               0.070181,              0.0033133,              0.0033133
                      1,                0.26733,                0.43609,                      1,                0.73741,               0.040115,              0.0065808,              0.0065808
                      2,                 0.2642,                0.42857,                      1,                0.74076,              0.0099831,              0.0097823,              0.0097823
                      3,                0.25221,                0.57895,                      1,                0.69419,               0.009703,               0.009703,               0.009703
                      4,                0.23804,                 0.6391,                      1,                0.67967,               0.009703,               0.009703,               0.009703
                      5,                0.21118,                0.57143,                      1,                0.67128,               0.009604,               0.009604,               0.009604
                      6,                0.18771,                0.56391,                      1,                0.65916,               0.009505,               0.009505,               0.009505
                      7,                0.15832,                0.56391,                      1,                0.66032,               0.009406,               0.009406,               0.009406
                      8,                 0.1264,                0.56391,                      1,                0.67145,               0.009307,               0.009307,               0.009307
                      9,                0.10977,                0.54887,                      1,                0.66211,               0.009208,               0.009208,               0.009208
                     10,                0.07532,                0.59398,                      1,                0.66484,               0.009109,               0.009109,               0.009109
                     11,                0.07114,                0.57143,                      1,                0.68412,                0.00901,                0.00901,                0.00901
                     12,                0.05094,                0.58647,                      1,                0.65767,               0.008911,               0.008911,               0.008911
                     13,                0.04857,                 0.6015,                      1,                0.65704,               0.008812,               0.008812,               0.008812
                     14,                0.03775,                0.59398,                      1,                0.66373,               0.008713,               0.008713,               0.008713
                     15,                0.02682,                0.58647,                      1,                0.65808,               0.008614,               0.008614,               0.008614
                     16,                0.02437,                 0.6015,                      1,                0.65379,               0.008515,               0.008515,               0.008515
                     17,                0.02214,                0.64662,                      1,                0.62657,               0.008416,               0.008416,               0.008416
                     18,                0.02391,                0.61654,                      1,                0.64266,               0.008317,               0.008317,               0.008317
                     19,                0.01734,                0.55639,                      1,                0.68011,               0.008218,               0.008218,               0.008218
                     20,                0.01511,                0.58647,                      1,                 0.6676,               0.008119,               0.008119,               0.008119
                     21,                0.01532,                0.59398,                      1,                 0.6569,                0.00802,                0.00802,                0.00802
                     22,                0.01754,                0.57143,                      1,                0.67143,               0.007921,               0.007921,               0.007921
                     23,                0.01195,                0.54887,                      1,                0.66612,               0.007822,               0.007822,               0.007822
                     24,                0.01079,                0.57895,                      1,                0.65369,               0.007723,               0.007723,               0.007723
                     25,                  0.008,                0.61654,                      1,                0.64459,               0.007624,               0.007624,               0.007624
                     26,                0.00894,                0.57143,                      1,                0.65796,               0.007525,               0.007525,               0.007525
                     27,                0.00864,                0.63158,                      1,                0.63279,               0.007426,               0.007426,               0.007426
                     28,                0.00587,                0.61654,                      1,                  0.631,               0.007327,               0.007327,               0.007327
                     29,                 0.0032,                0.59398,                      1,                0.65446,               0.007228,               0.007228,               0.007228
                     30,                0.00309,                0.60902,                      1,                0.64102,               0.007129,               0.007129,               0.007129
                     31,                0.00259,                 0.6015,                      1,                0.65143,                0.00703,                0.00703,                0.00703
                     32,                0.00377,                0.57895,                      1,                0.65837,               0.006931,               0.006931,               0.006931
                     33,                0.00477,                0.60902,                      1,                0.63623,               0.006832,               0.006832,               0.006832
                     34,                0.00255,                0.61654,                      1,                0.63582,               0.006733,               0.006733,               0.006733
                     35,                0.00321,                0.55639,                      1,                 0.6674,               0.006634,               0.006634,               0.006634
                     36,                0.00323,                 0.6015,                      1,                0.65928,               0.006535,               0.006535,               0.006535
                     37,                0.00304,                0.57895,                      1,                0.65284,               0.006436,               0.006436,               0.006436
                     38,                0.00237,                0.59398,                      1,                0.64408,               0.006337,               0.006337,               0.006337
                     39,                 0.0024,                0.60902,                      1,                0.63422,               0.006238,               0.006238,               0.006238
                     40,                0.00306,                0.61654,                      1,                0.63687,               0.006139,               0.006139,               0.006139
                     41,                0.00161,                 0.6015,                      1,                0.65376,                0.00604,                0.00604,                0.00604
                     42,                0.00147,                0.61654,                      1,                0.63452,               0.005941,               0.005941,               0.005941
                     43,                0.00104,                0.59398,                      1,                0.64444,               0.005842,               0.005842,               0.005842
                     44,                0.00384,                0.59398,                      1,                0.64732,               0.005743,               0.005743,               0.005743
                     45,                0.00244,                0.57895,                      1,                0.65926,               0.005644,               0.005644,               0.005644
                     46,                0.00418,                0.60902,                      1,                 0.6401,               0.005545,               0.005545,               0.005545
                     47,                0.00184,                0.60902,                      1,                0.64227,               0.005446,               0.005446,               0.005446
                     48,                0.00127,                0.58647,                      1,                0.65666,               0.005347,               0.005347,               0.005347
                     49,                0.00157,                 0.6015,                      1,                0.64384,               0.005248,               0.005248,               0.005248
                     50,                0.00092,                0.63158,                      1,                0.63093,               0.005149,               0.005149,               0.005149
                     51,                0.00032,                0.62406,                      1,                 0.6309,                0.00505,                0.00505,                0.00505
                     52,                0.00142,                0.60902,                      1,                0.63654,               0.004951,               0.004951,               0.004951
                     53,                0.00059,                0.60902,                      1,                0.65127,               0.004852,               0.004852,               0.004852
                     54,                0.00102,                0.59398,                      1,                0.65379,               0.004753,               0.004753,               0.004753
                     55,                0.00033,                0.60902,                      1,                0.65381,               0.004654,               0.004654,               0.004654
                     56,                0.00251,                 0.6015,                      1,                0.65234,               0.004555,               0.004555,               0.004555
                     57,                0.00198,                0.58647,                      1,                0.64736,               0.004456,               0.004456,               0.004456
                     58,                0.00046,                0.63158,                      1,                0.63686,               0.004357,               0.004357,               0.004357
                     59,                0.00111,                0.55639,                      1,                0.66659,               0.004258,               0.004258,               0.004258
                     60,                0.00037,                 0.6015,                      1,                0.64836,               0.004159,               0.004159,               0.004159
                     61,                 0.0003,                 0.6015,                      1,                0.64547,                0.00406,                0.00406,                0.00406
                     62,                0.00014,                 0.6015,                      1,                0.65011,               0.003961,               0.003961,               0.003961
                     63,                0.00016,                0.59398,                      1,                 0.6488,               0.003862,               0.003862,               0.003862
                     64,                0.00015,                 0.6015,                      1,                0.64939,               0.003763,               0.003763,               0.003763
                     65,                0.00015,                0.59398,                      1,                0.65022,               0.003664,               0.003664,               0.003664
                     66,                 0.0002,                0.59398,                      1,                0.64687,               0.003565,               0.003565,               0.003565
                     67,                 0.0002,                0.59398,                      1,                0.65082,               0.003466,               0.003466,               0.003466
                     68,                0.00014,                 0.6015,                      1,                 0.6463,               0.003367,               0.003367,               0.003367
                     69,                0.00012,                0.59398,                      1,                0.64736,               0.003268,               0.003268,               0.003268
                     70,                0.00012,                 0.6015,                      1,                0.64687,               0.003169,               0.003169,               0.003169
                     71,                0.00019,                0.59398,                      1,                0.64596,                0.00307,                0.00307,                0.00307
                     72,                 0.0013,                0.58647,                      1,                0.65084,               0.002971,               0.002971,               0.002971
                     73,                0.00027,                0.57895,                      1,                 0.6558,               0.002872,               0.002872,               0.002872
                     74,                0.00018,                0.57895,                      1,                0.65729,               0.002773,               0.002773,               0.002773
                     75,                0.00019,                0.59398,                      1,                0.65609,               0.002674,               0.002674,               0.002674
                     76,                0.00012,                0.59398,                      1,                0.65222,               0.002575,               0.002575,               0.002575
                     77,                 0.0001,                 0.6015,                      1,                0.65009,               0.002476,               0.002476,               0.002476
                     78,                0.00049,                0.57895,                      1,                0.65293,               0.002377,               0.002377,               0.002377
                     79,                0.00017,                 0.6015,                      1,                0.65434,               0.002278,               0.002278,               0.002278
                     80,                0.00026,                0.57895,                      1,                0.65216,               0.002179,               0.002179,               0.002179
                     81,                0.00035,                 0.6015,                      1,                0.64577,                0.00208,                0.00208,                0.00208
                     82,                0.00013,                 0.6015,                      1,                0.64557,               0.001981,               0.001981,               0.001981
                     83,                0.00012,                0.58647,                      1,                0.64682,               0.001882,               0.001882,               0.001882
                     84,                0.00011,                0.60902,                      1,                0.64484,               0.001783,               0.001783,               0.001783
                     85,                0.00017,                 0.6015,                      1,                0.64795,               0.001684,               0.001684,               0.001684
                     86,                0.00014,                0.59398,                      1,                0.64504,               0.001585,               0.001585,               0.001585
                     87,                0.00012,                 0.6015,                      1,                0.64408,               0.001486,               0.001486,               0.001486
                     88,                0.00014,                0.60902,                      1,                0.64634,               0.001387,               0.001387,               0.001387
                     89,                 0.0001,                0.61654,                      1,                 0.6462,               0.001288,               0.001288,               0.001288
                     90,                  8e-05,                0.60902,                      1,                0.64569,               0.001189,               0.001189,               0.001189
                     91,                 0.0001,                0.60902,                      1,                0.64658,                0.00109,                0.00109,                0.00109
                     92,                  8e-05,                 0.6015,                      1,                0.64838,               0.000991,               0.000991,               0.000991
                     93,                  8e-05,                0.60902,                      1,                0.64517,               0.000892,               0.000892,               0.000892
                     94,                0.00015,                 0.6015,                      1,                0.64533,               0.000793,               0.000793,               0.000793
                     95,                0.00013,                0.61654,                      1,                0.64478,               0.000694,               0.000694,               0.000694
                     96,                0.00011,                0.60902,                      1,                0.64585,               0.000595,               0.000595,               0.000595
                     97,                 0.0001,                0.60902,                      1,                0.64549,               0.000496,               0.000496,               0.000496
                     98,                0.00011,                0.60902,                      1,                0.64524,               0.000397,               0.000397,               0.000397
                     99,                0.00016,                0.60902,                      1,                0.64598,               0.000298,               0.000298,               0.000298
