                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.86563,                 3.7359,                 1.2042,                0.21242,                0.25899,                0.12719,                0.10665,                 0.6146,                 2.6912,                 1.0282,               0.070029,              0.0033301,              0.0033301
                      1,                0.84315,                 2.8495,                 1.1621,                0.28709,                  0.342,                 0.2459,                0.20065,                0.67893,                 2.3112,                 1.0805,               0.039369,              0.0060037,              0.0060037
                      2,                0.90758,                 2.7495,                 1.1959,                 0.2267,                 0.3879,                0.24291,                0.18122,                0.84052,                 2.4449,                 1.2013,              0.0080498,              0.0080174,              0.0080174
                      3,                0.94421,                 2.6783,                 1.2177,                0.30875,                0.41648,                0.32649,                0.25457,                0.77648,                 2.1186,                 1.1493,                0.00703,                0.00703,                0.00703
                      4,                0.92376,                 2.5399,                 1.2119,                0.35359,                0.41957,                0.35424,                0.28059,                0.73493,                 2.0943,                 1.1263,                0.00703,                0.00703,                0.00703
                      5,                0.88039,                 2.3596,                 1.1906,                0.43329,                0.48616,                0.46898,                0.37869,                0.69914,                 1.7148,                 1.1121,                0.00604,                0.00604,                0.00604
                      6,                0.83653,                 2.1992,                 1.1666,                0.47008,                0.53689,                0.51581,                 0.4232,                0.66592,                 1.5958,                 1.0844,                0.00505,                0.00505,                0.00505
                      7,                0.79733,                 2.0908,                 1.1502,                0.53079,                0.55702,                0.57123,                0.47835,                0.61239,                 1.4154,                  1.047,                0.00406,                0.00406,                0.00406
                      8,                0.75635,                 1.9503,                  1.128,                0.53001,                0.59748,                0.59823,                0.50471,                0.57759,                 1.3388,                 1.0318,                0.00307,                0.00307,                0.00307
                      9,                0.72795,                 1.8474,                 1.1145,                0.58123,                0.59843,                0.63385,                0.54173,                0.55866,                 1.2535,                 1.0178,                0.00208,                0.00208,                0.00208
