                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.86563,                 3.7359,                 1.2042,                0.21242,                0.25899,                0.12719,                0.10665,                 0.6146,                 2.6912,                 1.0282,               0.070029,              0.0033301,              0.0033301
                      1,                0.85352,                 2.8643,                 1.1667,                0.27597,                0.37597,                0.24944,                0.20114,                0.71626,                 2.3457,                 1.1012,               0.039897,              0.0065315,              0.0065315
                      2,                0.94625,                 2.8149,                  1.215,                0.23102,                0.32908,                0.21185,                0.15419,                0.90506,                 2.6133,                 1.2498,              0.0096333,              0.0096009,              0.0096009
                      3,                 1.0043,                 2.8124,                 1.2533,                0.26162,                0.35013,                0.26309,                0.20044,                 0.8528,                 2.3628,                 1.2172,               0.009406,               0.009406,               0.009406
                      4,                0.96494,                 2.6391,                 1.2379,                0.30895,                0.43724,                0.35252,                0.27366,                0.78335,                 2.0444,                 1.1778,               0.009406,               0.009406,               0.009406
                      5,                0.93455,                 2.4799,                 1.2232,                0.36889,                0.48742,                0.41152,                0.32859,                  0.735,                 1.8568,                  1.157,               0.009208,               0.009208,               0.009208
                      6,                 0.8987,                 2.3499,                 1.2021,                0.41112,                0.47515,                0.44853,                0.35329,                0.75735,                 1.7624,                  1.199,                0.00901,                0.00901,                0.00901
                      7,                 0.8747,                  2.272,                 1.1933,                0.48246,                0.50566,                0.49968,                0.40196,                0.69419,                  1.621,                 1.1357,               0.008812,               0.008812,               0.008812
                      8,                0.85145,                 2.1764,                 1.1805,                0.48344,                0.52581,                0.53076,                0.43528,                0.66283,                 1.5379,                 1.1189,               0.008614,               0.008614,               0.008614
                      9,                0.84199,                 2.1248,                 1.1761,                0.49748,                  0.537,                0.54825,                0.44873,                0.65736,                 1.4702,                   1.11,               0.008416,               0.008416,               0.008416
                     10,                0.82704,                 2.0587,                 1.1656,                0.50829,                0.55522,                0.55633,                0.45891,                0.63749,                 1.4393,                  1.106,               0.008218,               0.008218,               0.008218
                     11,                0.81278,                 2.0095,                 1.1597,                0.54787,                0.58024,                0.59709,                0.49881,                0.62376,                 1.3464,                 1.0885,                0.00802,                0.00802,                0.00802
                     12,                0.80283,                  1.953,                 1.1541,                0.54574,                0.57748,                0.59885,                0.50439,                0.60938,                 1.3339,                 1.0812,               0.007822,               0.007822,               0.007822
                     13,                0.78806,                 1.9131,                 1.1465,                 0.5613,                0.61472,                0.62685,                0.52982,                0.59915,                 1.2626,                 1.0732,               0.007624,               0.007624,               0.007624
                     14,                 0.7774,                 1.8714,                 1.1393,                  0.584,                0.60373,                0.63096,                0.53373,                0.60239,                 1.2605,                 1.0762,               0.007426,               0.007426,               0.007426
                     15,                0.77696,                 1.8502,                 1.1402,                0.58944,                0.60353,                0.64052,                0.54277,                0.57829,                 1.2247,                 1.0556,               0.007228,               0.007228,               0.007228
                     16,                0.76723,                 1.7987,                 1.1347,                0.59997,                0.61675,                0.65563,                0.55954,                0.57435,                 1.1855,                  1.052,                0.00703,                0.00703,                0.00703
                     17,                0.76061,                 1.7795,                 1.1302,                0.62981,                0.62886,                0.67925,                0.58138,                0.56452,                 1.1446,                 1.0437,               0.006832,               0.006832,               0.006832
                     18,                0.75125,                 1.7455,                  1.128,                0.61942,                0.64728,                0.68706,                0.58671,                0.56652,                 1.1142,                 1.0446,               0.006634,               0.006634,               0.006634
                     19,                0.74742,                 1.7192,                 1.1276,                0.64552,                0.64289,                 0.6905,                0.59114,                0.56277,                 1.1069,                 1.0469,               0.006436,               0.006436,               0.006436
                     20,                0.73769,                 1.6891,                 1.1187,                0.64556,                0.66259,                0.70114,                0.60398,                0.54027,                 1.0698,                 1.0304,               0.006238,               0.006238,               0.006238
                     21,                0.72908,                 1.6622,                 1.1128,                 0.6763,                   0.65,                0.71321,                0.61902,                0.53659,                 1.0442,                 1.0263,                0.00604,                0.00604,                0.00604
